VELOCITY MPS	ROTOR PITCH ANGLE DEG	TILT ANGLE DEG	PROP 2 RPM	PROP 6 RPM	HOVER PROP RPM	PROP2_FX	PROP2_FY	PROP2_FZ	PROP2_MX	PROP2_MY	PROP2_MZ	PROP6_FX	PROP6_FY	PROP6_FZ	PROP6_MX	PROP6_MY	PROP6_MZ
20	9.9	75	500	500	NaN	684.4468733	6.813607848	-123.3771983	102.2523589	107.8388444	224.1716711	476.5519306	4.484019279	-118.2362756	-91.03931778	91.93609683	-231.9865283
20	9.9	75	800	800	NaN	1708.793006	9.694896897	-191.2446972	248.5410039	295.3034889	363.9756011	1379.816339	31.41533799	-158.4644011	-245.5572683	274.6976324	-404.1977533
20	9.9	75	1100	1100	NaN	3180.268294	-11.40056846	-256.665315	472.6339522	555.6519744	528.9050961	2603.174528	41.99775019	-231.1568456	-468.6128356	410.5012078	-611.582545
20	9.9	75	1400	1400	NaN	5164.290078	-34.75323778	-334.5518928	791.3121639	862.9313389	742.0337894	4117.332194	38.65100147	-334.0618639	-785.2581433	559.9693426	-768.5635611
20	13	75	500	500	NaN	849.396085	5.601899247	-144.8398289	138.6509472	120.9011549	282.8829589	631.8237689	13.00859875	-139.1181917	-127.7033706	107.4296315	-304.5188172
20	13	75	800	800	NaN	2088.417778	9.440204949	-233.6141267	337.3687217	317.0247828	475.0017522	1761.65295	7.522983331	-188.8219517	-344.4088228	324.9874767	-515.3850422
20	13	75	1100	1100	NaN	3897.581306	-18.98108431	-311.8823628	646.6669228	583.36777	710.9914767	3340.529844	52.34099849	-271.2371489	-667.7934317	413.0066327	-751.6545678
20	13	75	1400	1400	NaN	6352.253028	-40.44035714	-413.827825	1093.729372	884.1878172	1011.257702	5546.84515	96.45429161	-388.1563822	-1143.760583	739.517955	-932.4643
20	13	60	500	500	NaN	573.1956806	-16.06392158	-149.6668594	129.7423806	95.11784006	227.8789139	375.7289867	5.9486247	-142.4952122	-98.95378744	59.2345975	-242.3162472
20	13	60	800	800	NaN	1729.534878	-29.78917422	-214.2086689	346.2707278	236.8583789	391.0530728	1257.902417	28.91707526	-194.0822611	-309.1122183	122.7041176	-452.35736
20	13	60	1100	1100	NaN	3459.38115	-54.18082167	-279.8197144	662.9024478	430.52184	581.4341478	2833.988667	14.09402282	-274.3407222	-649.6445561	255.6704396	-652.3305006
20	13	60	1400	1400	NaN	5841.045967	-82.60482867	-358.0816417	1109.368661	676.4101883	825.9643194	4791.293583	-8.871974967	-372.6533506	-1101.873439	444.8819751	-831.4459717
20	22	60	500	500	NaN	1021.128391	-17.43319956	-214.5528367	283.203145	112.8372413	362.5161983	811.1725239	18.9266005	-209.3178183	-253.4835411	74.14376006	-406.4582894
20	22	60	800	800	NaN	2563.117161	-30.14854268	-344.9799828	696.0084317	139.7750512	637.8985517	2333.330572	-0.942369703	-295.0416344	-723.5094294	140.3319319	-622.6708389
20	22	60	1100	1100	NaN	4791.438861	-79.14256154	-498.135725	1353.475239	109.5466658	967.6451044	4529.514383	-10.55739008	-453.08866	-1386.609856	84.69756557	-866.32366
20	22	60	1400	1400	NaN	7726.7257	-122.9865373	-688.452075	2303.925367	34.59200767	1288.964167	7599.769439	-60.52600895	-675.0469239	-2365.807611	68.18762532	-1165.649484
20	13	45	500	500	NaN	284.9701067	-31.06990322	-116.1683283	83.872971	61.48936117	154.8651294	152.7979059	-8.768432824	-127.9460311	-55.87201728	16.369424	-182.4959461
20	13	45	800	800	NaN	1330.767561	-48.23994517	-165.2205789	319.0866861	164.8862217	284.1442422	862.415555	5.862448289	-185.6475622	-248.6765067	78.53355303	-360.2860889
20	13	45	1100	1100	NaN	2987.133739	-75.39401267	-214.1508944	647.6524594	304.7393117	429.6034172	2064.884744	4.908901845	-241.2617228	-562.5824072	9.627072614	-504.7869528
20	13	45	1400	1400	NaN	5297.423372	-91.81045872	-268.3020083	1099.751322	482.71863	616.5483894	4007.350872	-25.85726809	-327.3827078	-1023.333405	-23.0565742	-616.81731
20	22	45	500	500	NaN	806.1405517	-47.30201828	-170.0503322	267.5989589	101.5648099	276.7358456	597.5016656	0.815724656	-201.2598406	-223.2503111	43.885704	-320.4637717
20	22	45	800	800	NaN	2428.619772	-62.58517678	-249.1017172	702.8383356	200.8409894	481.6769433	2021.910906	3.270556001	-262.4674583	-709.3211617	65.23816829	-542.2962828
20	22	45	1100	1100	NaN	4790.397933	-83.05238744	-358.794595	1342.803722	252.0647906	746.8645306	4338.333239	3.722688264	-380.1479372	-1416.254656	132.3633765	-729.98731
20	22	45	1400	1400	NaN	7711.908683	-104.5672141	-523.3536222	2270.477972	60.42045616	1012.311849	7213.227067	-100.6393321	-584.3990694	-2349.820028	84.97642859	-1045.415027
20	13	90	500	500	NaN	1107.540656	-37.6434546	-128.2218656	111.6224627	139.4832512	295.3085372	977.9760372	2.781990359	-108.7058534	-123.7804328	169.4813371	-318.1128867
20	13	90	800	800	NaN	2436.92275	-36.775041	-216.550565	297.1940133	383.3821878	467.9750017	2018.437456	-0.245949522	-183.4381672	-311.9306833	373.1107326	-516.5192139
20	13	90	1100	1100	NaN	4241.203467	-21.9408302	-310.0466856	608.4887783	714.3435478	737.6440072	3606.675689	95.05977133	-228.6112311	-650.6560383	746.0812317	-691.8013806
20	13	90	1400	1400	NaN	6530.5002	8.970126191	-430.7021961	1084.631428	855.8468133	1111.027119	6023.857	172.1881939	-307.6419167	-1146.404894	1367.177317	-749.7040244
20	22	90	500	500	NaN	1216.530322	13.6237238	-163.6787217	351.1039056	34.77003707	358.9101767	1118.110468	-19.60247941	-181.0901678	-321.1115817	3.686467107	-355.7375761
20	22	90	800	800	NaN	2848.118239	-58.43047279	-326.8883817	841.9541156	13.07593416	664.6556717	2382.496122	-103.6681889	-332.8030339	-704.1899178	75.55267476	-754.4242094
20	22	90	1100	1100	NaN	5054.88645	-132.252033	-532.9066106	1586.206328	55.88991212	1084.115908	4695.783367	-165.7293614	-479.1461217	-1381.131389	260.4335797	-964.5810939
20	22	90	1400	1400	NaN	7934.16345	-174.2003912	-805.5213067	2585.618767	129.1560315	1572.014028	7652.111578	-272.5745278	-737.0265489	-2522.800217	434.6453778	-1682.275267
30	22	45	500	500	NaN	584.7230228	-67.96973367	-316.3344833	214.46796	108.7773697	386.1645811	385.2338489	-27.73458718	-287.7130594	-167.4176156	11.883995	-401.7691489
30	22	45	800	800	NaN	2169.163167	-111.6576121	-404.0429761	706.379165	261.9668039	685.1430161	1629.654	10.10869169	-478.7440128	-602.6936494	116.7326693	-803.5657133
30	22	45	1100	1100	NaN	4645.974317	-134.0386286	-534.3183567	1383.385517	430.2914361	1024.300474	3780.960828	31.30101104	-565.9790522	-1360.889506	141.6639381	-1185.289209
30	22	45	1400	1400	NaN	7725.376817	-150.0264017	-737.8736128	2309.500617	318.6302678	1381.622878	6867.341906	-8.522538369	-712.3699744	-2400.23375	196.9417522	-1480.331417
30	22	30	500	500	NaN	177.1070206	-55.05384333	-243.4559017	88.21940311	70.26489489	239.8504028	72.37260283	-54.30678722	-219.0969467	-68.90240739	-39.32367161	-261.2505889
