PROP1_JA	PROP1_JL	PROP5_JA	PROP5_JL	PROP1_CEF_X	PROP1_CEF_Y	PROP1_CEF_Z	PROP1_CEM_X	PROP1_CEM_Y	PROP1_CEM_Z	PROP5_CEF_X	PROP5_CEF_Y	PROP5_CEF_Z	PROP5_CEM_X	PROP5_CEM_Y	PROP5_CEM_Z
0	0	0	0	0.0882833059396466	0.000136551701969441	-0.000323662060344691	-0.00477908928769819	0.000466756436520299	-0.000197220019508357	0.087693680753133	9.43475423114702e-05	3.00100274407598e-05	0.00476313540444615	-0.000365498912092762	-0.000110379479915209
0	0	0	0	0.0878085250824009	0.000127212535828275	-0.000355123843293263	-0.00475115333088802	0.000469390344078195	-0.000155529474389534	0.0875651198537094	0.000162378566516453	5.97378864572454e-05	0.0047346842687686	-0.000404876708073101	-0.000140549355780108
0	0	0	0	0.0878107214326955	0.000111385780496916	-0.000363755852557801	-0.0047523996356841	0.000473612497558204	-0.000178184550654737	0.0875956977463302	0.000162157221236167	7.55026129105852e-05	0.00473630907703657	-0.000422755378404405	-0.000186623749303609
0	0	0	0	0.0881829601738992	0.000103965452544029	-0.000365536026609559	-0.00477281072060421	0.000502408583731162	-0.000193661012821383	0.0881208983890795	0.000137311825813719	7.72741964098087e-05	0.00475175152882854	-0.000472048260357879	-0.000175593381604022
0	0.4	0	0.4	0.105729537530427	-0.000367675093926844	-0.00712669082620239	-0.00448307402971735	0.00706998104505941	-0.0062292407985652	0.0918637954098002	-0.000839204934033371	-0.00701553200260298	0.0048309682452765	0.00468807109752337	0.00701904410075075
0	0.25	0	0.25	0.094390709792792	-3.32559951756928e-05	-0.0045782619689877	-0.00455426067665872	0.00541240101949805	-0.0044272021413847	0.0892587197914927	-0.000690827953560154	-0.00438936816963626	0.00476637144992933	0.00376640215898871	0.00436709827365385
0	0.181818181818182	0	0.181818181818182	0.091764951023331	3.27754646515578e-05	-0.00333290101684817	-0.00461669300552558	0.00398819918468939	-0.00349857442658134	0.0872008395060885	-0.000479039082680368	-0.00311835391600764	0.00474849425270233	0.00268801716447794	0.00346349768001862
0	0.142857142857143	0	0.142857142857143	0.0914595858001398	0.000220989689313902	-0.00261399600887321	-0.004668697971287	0.00325019430877357	-0.00290088363545817	0.0866565982446544	-0.000475403330802466	-0.00249843474665446	0.00477620301490573	0.00216050582179542	0.00289318683444321
-0.0251155865036186	0.180075146964396	-0.0251155865036186	0.180075146964396	0.0900348094058778	5.03253381651114e-05	-0.00326330324363072	-0.00468709615761257	0.00340896900813589	-0.00338531733114064	0.0863857876849512	-0.000654501960289183	-0.00308235884718868	0.00476068113495467	0.00283594194004216	0.00302975318956304
-0.0125884581030546	0.181381867787982	-0.0125884581030546	0.181381867787982	0.0909923588645885	5.89099824976067e-05	-0.00331497530327163	-0.00465396815517289	0.00369722743335714	-0.0034467216607079	0.086841084596212	-0.000579366354163245	-0.00310600728359673	0.00475322463840077	0.00277565378900811	0.00323437767987162
