PROP2_JA	PROP2_JL	PROP6_JA	PROP6_JL	ROTOR PITCH ANGLE DEG	PROP2_CEF_X	PROP2_CEF_Y	PROP2_CEF_Z	PROP2_CEM_X	PROP2_CEM_Y	PROP2_CEM_Z	PROP6_CEF_X	PROP6_CEF_Y	PROP6_CEF_Z	PROP6_CEM_X	PROP6_CEM_Y	PROP6_CEM_Z
0	0	0	0	9.9	0.0837804461823751	-0.000606030234510953	-9.56190049375366e-05	0.00450892354770146	0.000103331134642094	0.00112804765960146	0.0827790051746931	-0.000459779451579743	0.000367403448749747	-0.0043762988565081	0.000342079844707976	0.000744947913018964
0	0	0	0	9.9	0.0838742518110681	-0.000612798883264877	-8.06359598447167e-05	0.00448853607779125	7.60707471788956e-05	0.00112530754826945	0.0828529452674261	-0.000441642857823971	0.00040751709820301	-0.00435620101614201	0.000304553959569072	0.00081003432859763
0	0	0	0	9.9	0.0837660535231255	-0.00061378922407911	-8.82075574276831e-05	0.00448385931959109	6.46027797670211e-05	0.00113350317558777	0.0827892926575267	-0.000425854382828149	0.000463499682440175	-0.00435115681798689	0.000289522600282749	0.00084916858917013
0	0	0	0	9.9	0.0838206771634053	-0.000616998745219845	-0.000105052187621536	0.00450538036840298	7.81401691705847e-05	0.0011722668210458	0.0828405205678149	-0.000409425031513193	0.000520526771433432	-0.0043682548025692	0.000267946498331133	0.000896725113306279
0	0.4	0	0.4	9.9	0.107555705018338	-0.0011621048093507	-0.00783921930827062	0.00403987829837475	0.00728034039450782	0.00532024664704066	0.0877084119786495	-0.000594083917799948	-0.00755974905130829	-0.00421308021230377	0.00608293231606006	-0.0067702566403273
0	0.25	0	0.25	9.9	0.0949540930632156	-3.38938589010016e-05	-0.00468192747878738	0.00420345324946416	0.00576836978200136	0.00396814227531947	0.0783024236624549	-0.000717714555619345	-0.00363679335814069	-0.00435926538528104	0.00488466759843302	-0.00329994270171451
0	0.181818181818182	0	0.181818181818182	9.9	0.0905589686719647	-0.000319557760285319	-0.00359046612994495	0.00428400181424033	0.00430356719623933	0.00336817949065174	0.0778491359772023	-0.000462978196388796	-0.00227783425404518	-0.00413220755413674	0.00413244310064206	-0.00311727022217942
0	0.142857142857143	0	0.142857142857143	9.9	0.0887435597053072	-0.000362572408877199	-0.00276081489397066	0.00437073311839582	0.00344089948321706	0.00297784116877488	0.078163198815567	-0.000461290325695117	-0.00172570358252004	-0.00411316081609801	0.00342680188290907	-0.00242029397661981
0	0.4	0	0.4	13	0.125243488053008	-0.00100742444212593	-0.00966331315376889	0.00560513456106329	0.00697869417155237	0.00715999959836785	0.107678890669027	-0.00223955724320322	-0.00835096762793361	-0.00618134758106261	0.00651173793454645	-0.00766577862598118
0	0.25	0	0.25	13	0.112866479015951	-5.20855004625438e-05	-0.00605231884066349	0.00584866092604821	0.00522721345863609	0.00555102570683943	0.0946508765972305	-0.00128536667473153	-0.00446976688069476	-0.00613253444506673	0.00446409431694407	-0.00460751705248722
0	0.181818181818182	0	0.181818181818182	13	0.10920510412346	-0.000335377746081504	-0.00461460124133247	0.00594894305243868	0.00379337817371464	0.00457146332104271	0.0939645631413022	-0.000552685209584006	-0.00313414029706547	-0.00584507735292233	0.00312539080919895	-0.00440254583264007
0	0.142857142857143	0	0.142857142857143	13	0.10759243000046	-0.000425522083255512	-0.00385785127708544	0.00609783347660525	0.002863476159798	0.00401442019421283	0.0942753125124033	-0.000500617117921052	-0.002756076950458	-0.00587739201254923	0.00242783718425548	-0.00337555158612046
0.103527618041008	0.386370330515627	0.103527618041008	0.386370330515627	9.9	0.0916433421903012	2.24511943870547e-06	-0.00835702359659576	0.00449926327569017	0.00525633414846438	0.00533569948466543	0.073915709171957	0.000153846929727731	-0.00786198056148788	-0.00431822961368828	0.00504719598747698	-0.00640025276883561
0.0647047612756302	0.241481456572267	0.0647047612756302	0.241481456572267	9.9	0.0876909793742497	-0.00051030838201789	-0.0049373700659997	0.00442491069358846	0.00438409816062793	0.00362724247399715	0.0738486365285804	0.000262828034045576	-0.00527170303902911	-0.00457824044190797	0.00354548406396903	-0.00363748130920347
0.0470580082004583	0.175622877507103	0.0470580082004583	0.175622877507103	9.9	0.0860202608724745	-0.000401571486129935	-0.00337690834184038	0.00441994446879675	0.00348710001155192	0.00287710923869711	0.0779751281857916	0.000259870373120741	-0.00307659012682197	-0.00433318333309412	0.00330051877237671	-0.00302992692449511
0.0369741493003601	0.137989403755581	0.0369741493003601	0.137989403755581	9.9	0.0855216845137565	-7.24783548112052e-05	-0.00274172842947536	0.00445023855685105	0.00293674360200432	0.00251950237657979	0.0807689239288694	0.000145860612654893	-0.00308501731049321	-0.00429019692496223	0.00311723298287451	-0.0028363876495961
0.103527618041008	0.386370330515627	0.103527618041008	0.386370330515627	13	0.112429398814781	-0.000147512457654912	-0.00988652758884886	0.00611118182054954	0.00552062313909202	0.0070495170360753	0.0928762123986272	0.000744185276080429	-0.00918139121558648	-0.00600821359064359	0.0046785648413235	-0.00794613669606429
0.0647047612756302	0.241481456572267	0.0647047612756302	0.241481456572267	13	0.107415384534313	-0.000568922890265545	-0.00602137930384486	0.00604446847449901	0.00436664515084385	0.00491397369402187	0.0967324492288515	0.00124451477476579	-0.00577534202995792	-0.00644238414744115	0.00433099962403874	-0.00434396807892417
0.0470580082004583	0.175622877507103	0.0470580082004583	0.175622877507103	13	0.105956600969189	-0.000452647832558889	-0.00439556624520257	0.00606211297282096	0.00342321740414574	0.00391454753939877	0.0971797936651249	0.000737410440607367	-0.00351216136071495	-0.00613695851862773	0.00326211996414026	-0.00355253434904711
0.0369741493003601	0.137989403755581	0.0369741493003601	0.137989403755581	13	0.105684696908302	-8.68509941418314e-05	-0.00368897385784366	0.00614823699852397	0.00285173162027834	0.00345934460001642	0.0993289330607678	0.000748766724870864	-0.00338886050020548	-0.00601567068248911	0.00306649144948964	-0.00343251668347991
0.2	0.346410161513775	0.2	0.346410161513775	9.9	0.0759189161631698	-0.00118111908628618	-0.00738827232316277	0.00453794707080962	0.00360379845596194	0.00438794197138251	0.0542601297347198	0.00107948956817277	-0.00705435553254236	-0.00404785788672045	0.00176942786944054	-0.00521585319501441
0.125	0.21650635094611	0.125	0.21650635094611	9.9	0.0796364353344085	-0.000968334081594319	-0.0042871615152955	0.00447988820723786	0.00320185998319153	0.00295910849339016	0.0593525947280997	-0.000605279196904512	-0.00492253727350293	-0.00424715875056184	0.00193700744958674	-0.00321524043543595
0.0909090909090909	0.157459164324443	0.0909090909090909	0.157459164324443	9.9	0.0807114798289143	-0.000608784100255716	-0.00288416583304575	0.00445314926579569	0.00269772437891555	0.00233491903574423	0.0682907297000111	-0.000199174190120176	-0.00380345719503321	-0.00428785948031324	0.00129935152345065	-0.00223386805001353
0.0714285714285714	0.123717914826348	0.0714285714285714	0.123717914826348	9.9	0.0813904018819204	-0.000470789198302045	-0.00221913857883074	0.00446317843685171	0.00233199232090126	0.00201864670144728	0.075574821616552	-0.000371177706003678	-0.00407821170713202	-0.00440448058314848	0.00116946984650651	-0.00262111611543945
0.2	0.346410161513775	0.2	0.346410161513775	13	0.0980359799063388	-0.00151608150165714	-0.0089022605178288	0.006297215333844	0.0040731027566804	0.0058365756485281	0.0788180039783644	0.000595185080111885	-0.00896448449902455	-0.0061199697809146	0.00221147113349957	-0.0067355317118039
0.125	0.21650635094611	0.125	0.21650635094611	13	0.100453354637977	-0.0010271180940488	-0.00515858154942222	0.00617491328222341	0.00337031726646013	0.00400155115668463	0.0823113430791013	-2.37388948797316e-05	-0.00603895771466815	-0.00625023253281207	0.00220064172359271	-0.00392619753964455
0.0909090909090909	0.157459164324443	0.0909090909090909	0.157459164324443	13	0.101297629486883	-0.000644708283173124	-0.00363499954822108	0.00614116436067673	0.00276365820029624	0.00321822192738373	0.088603212293525	0.000148144514008337	-0.00419156779481571	-0.00610524389856745	0.00189267984411703	-0.00249604798857037
0.0714285714285714	0.123717914826348	0.0714285714285714	0.123717914826348	13	0.102102940092116	-0.000486006659814029	-0.00288813384939077	0.00618077422109629	0.00238278710291957	0.00279677142361146	0.0912808729152867	-0.000126789223732118	-0.00472701970421961	-0.00602247131064246	0.000695382926218506	-0.00303833970405691
0.207055236082017	0.772740661031255	0.207055236082017	0.772740661031255	9.9	0.0984372028468203	0.000979933613573954	-0.0177441183085166	0.00488970650675594	0.00515685217256852	0.010719886471079	0.0685377359287822	0.000644892003389295	-0.0170047504037444	-0.00435349902250018	0.00439638298530632	-0.0110935928433455
0.12940952255126	0.482962913144534	0.12940952255126	0.482962913144534	9.9	0.0946718271461323	0.000537123923149039	-0.010595481636664	0.00456104679634016	0.00541919848580533	0.00667941998822489	0.0764456159877431	0.00174049603286274	-0.0087793631745205	-0.0045062914139849	0.00504105454053913	-0.00741754816649333
0.0941160164009166	0.351245755014207	0.0941160164009166	0.351245755014207	9.9	0.0913479321375014	-0.00032746242069507	-0.00737228548324182	0.00447268137385213	0.00525830661270686	0.00500519262497016	0.0747718708432391	0.00120631571918689	-0.00663959700658755	-0.00443462830289692	0.00388469998298794	-0.0057875949132767
0.0739482986007202	0.275978807511162	0.0739482986007202	0.275978807511162	9.9	0.0892479313002769	-0.000600596506200291	-0.00578163966276567	0.00447544252354244	0.00488050074951018	0.00419673768013222	0.0711546747453117	0.000667956654599343	-0.00577317110950049	-0.00444120265908982	0.00316703157373535	-0.00434678272407654
0.207055236082017	0.772740661031255	0.207055236082017	0.772740661031255	13	0.122160211373764	0.000805665587813548	-0.0208308755199453	0.00663028653798337	0.00578149169514013	0.013527459509628	0.0908689438564959	0.00187089768959376	-0.0200079892103669	-0.00610677356370979	0.00513728361687647	-0.0145620859793432
0.12940952255126	0.482962913144534	0.12940952255126	0.482962913144534	13	0.115704082468445	0.000523013289507688	-0.0129428644336557	0.00619114956143927	0.00581781214069674	0.00871689252932873	0.0976004132673013	0.000416793944635133	-0.010461254879889	-0.00632034446314243	0.00596393780581011	-0.00945797779328898
0.0941160164009166	0.351245755014207	0.0941160164009166	0.351245755014207	13	0.111951558713644	-0.000545200165884518	-0.00895830360151935	0.00611960923930812	0.00552058976474152	0.00672833240185429	0.0959511793607845	0.00150340837189555	-0.00779083724402485	-0.00631953593186102	0.00390840959426672	-0.0071131398185023
0.0739482986007202	0.275978807511162	0.0739482986007202	0.275978807511162	13	0.109778001096421	-0.000698879838521221	-0.00715166590914009	0.00618583052808316	0.00500072150590007	0.00571939359491831	0.0958591495449443	0.00166689823019391	-0.00670801864518146	-0.00646879320631392	0.00418250881727681	-0.00527375992722969
0.4	0.692820323027551	0.4	0.692820323027551	13	0.0824370476120392	-0.00231031445795323	-0.0215250994239648	0.00620427899606946	0.00454853390624275	0.0108971667747932	0.0540373722519833	0.000855531669580506	-0.0204936725627849	-0.00473196886134147	0.00283259770177115	-0.0115875598702351
0.25	0.433012701892219	0.25	0.433012701892219	13	0.0958209838396442	-0.00165040209240057	-0.0118677487583911	0.00635451281243725	0.00434665561543654	0.00717632638842583	0.0696912497714928	0.00160208541407526	-0.0107526904724408	-0.00567260641448957	0.00225177823254631	-0.00830133883445255
0.181818181818182	0.314918328648887	0.181818181818182	0.314918328648887	13	0.099364986005785	-0.00155625424131755	-0.0080373572034694	0.00627325103741466	0.0040741614220506	0.00550229129939058	0.0814016241711348	0.000404827429979641	-0.00787998223966155	-0.00614778750482857	0.0024194885020863	-0.00617320542895449
0.142857142857143	0.247435829652697	0.142857142857143	0.247435829652697	13	0.100943452306316	-0.00142755537796328	-0.00618827472424022	0.0062742820169161	0.00382558876026292	0.00467142552157039	0.0828019019219473	-0.000153323186806586	-0.00644009924517001	-0.00623189111634297	0.00251612928519534	-0.00470242822937888
0.4	0.692820323027551	0.4	0.692820323027551	22	0.146858765053422	-0.00250724412412451	-0.0308570057538148	0.0135427708048723	0.00539587544898194	0.0173355200085456	0.116662895826997	0.00272202516411032	-0.0301041049981095	-0.0121215797230103	0.00354555366644684	-0.0194368302480704
0.25	0.433012701892219	0.25	0.433012701892219	22	0.142003732441235	-0.00167031209238736	-0.0191128388200562	0.012772649091368	0.00256505180022749	0.0117062581222692	0.129272924111658	-5.22098705442431e-05	-0.0163461171217066	-0.0132773277378991	0.00257527127666326	-0.0114268100248037
0.181818181818182	0.314918328648887	0.181818181818182	0.314918328648887	22	0.137626134480972	-0.0022732388189963	-0.0143081225217425	0.0128083550986275	0.00103667400407986	0.00915712511723587	0.130102788263096	-0.000303243520176091	-0.0130142202920542	-0.0131219182347412	0.000801519277597845	-0.00819828892903941
0.142857142857143	0.247435829652697	0.142857142857143	0.247435829652697	22	0.133531283881084	-0.00212542166803693	-0.0118976514806714	0.0130303640319662	0.000195642818553448	0.00729002447767663	0.131337258470285	-0.00104599490095675	-0.0116659871112473	-0.013380352871876	0.000385650331005239	-0.00659259077040823
0.565685424949238	0.565685424949238	0.565685424949238	0.565685424949238	13	0.0409844230323668	-0.00446847591099693	-0.0167073380613296	0.00401080441029955	0.00294042047189598	0.00740564852530537	0.0219754067764658	-0.00126107669450406	-0.0184012081991292	-0.00267179915826466	0.000782785648230624	-0.0087269538297346
0.353553390593274	0.353553390593274	0.353553390593274	0.353553390593274	13	0.0737281789334946	-0.00267262549333792	-0.00915367398607243	0.00585565071579404	0.00302587404671467	0.00521441196924695	0.0477801910848269	0.000324795741275024	-0.010285384980502	-0.00456353344684103	0.00144119161358506	-0.00661171269833787
0.25712973861329	0.25712973861329	0.25712973861329	0.25712973861329	13	0.0858004623668436	-0.00216556796983025	-0.00615112926344712	0.00612893567718579	0.00288384242599723	0.00406547010283462	0.0593103895739037	0.000141000063879112	-0.00692984284479713	-0.00532389144332051	9.11039678062293e-05	-0.00477695517015405
0.202030508910442	0.202030508910442	0.202030508910442	0.202030508910442	13	0.0915487066047681	-0.0015866447059966	-0.00463672621847729	0.00621988901010095	0.0027301229301982	0.00348702699847675	0.0692540058591884	-0.000446858648769567	-0.00565774365369276	-0.0057876904279172	-0.000130401600442138	-0.00348854793893945
